%Class,%Class,代码，显示NPC的职业名字。
%Name,%Name,《上古卷轴3：晨风》中的代码，通用对话中显示说话的NPC名字。
'Ten-Tongues' Weerhat,“十舌”维哈特,NPC_.FNAM
"2920, Evening Star","《2920年，夜星月》","BOOK.FNAM"
"2920, First Seed","《2920年，初种月》","BOOK.FNAM"
"2920, FrostFall","《2920年，霜落月》","BOOK.FNAM"
"2920, Hearth Fire","《2920年，炉火月》","BOOK.FNAM"
"2920, Last Seed","《2920年，末种月》","BOOK.FNAM"
"2920, MidYear","《2920年，年中月》","BOOK.FNAM"
"2920, Morning Star","《2920年，晨星月》","BOOK.FNAM"
"2920, Rain's Hand","《2920年，雨手月》","BOOK.FNAM"
"2920, Second Seed","《2920年，次种月》","BOOK.FNAM"
"2920, Sun's Dawn","《2920年，日晓月》","BOOK.FNAM"
"2920, Sun's Dusk","《2920年，日暮月》","BOOK.FNAM"
"2920, Sun's Height","《2920年，日高月》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 1","《维威克的三十六课：布道一》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 10","《维威克的三十六课：布道十》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 11","《维威克的三十六课：布道十一》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 12","《维威克的三十六课：布道十二》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 13","《维威克的三十六课：布道十三》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 14","《维威克的三十六课：布道十四》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 15","《维威克的三十六课：布道十五》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 16","《维威克的三十六课：布道十六》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 17","《维威克的三十六课：布道十七》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 18","《维威克的三十六课：布道十八》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 19","《维威克的三十六课：布道十九》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 2","《维威克的三十六课：布道二》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 20","《维威克的三十六课：布道二十》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 21","《维威克的三十六课：布道二十一》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 22","《维威克的三十六课：布道二十二》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 23","《维威克的三十六课：布道二十三》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 24","《维威克的三十六课：布道二十四》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 25","《维威克的三十六课：布道二十五》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 26","《维威克的三十六课：布道二十六》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 27","《维威克的三十六课：布道二十七》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 28","《维威克的三十六课：布道二十八》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 29","《维威克的三十六课：布道二十九》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 3","《维威克的三十六课：布道三》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 30","《维威克的三十六课：布道三十》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 31","《维威克的三十六课：布道三十一》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 32","《维威克的三十六课：布道三十二》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 33","《维威克的三十六课：布道三十三》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 34","《维威克的三十六课：布道三十四》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 35","《维威克的三十六课：布道三十五》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 36","《维威克的三十六课：布道三十六》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 4","《维威克的三十六课：布道四》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 5","《维威克的三十六课：布道五》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 6","《维威克的三十六课：布道六》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 7","《维威克的三十六课：布道七》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 8","《维威克的三十六课：布道八》","BOOK.FNAM"
"36 Lessons of Vivec, Sermon 9","《维威克的三十六课：布道九》","BOOK.FNAM"
6th House Amulet,第六家族护符,CLOT.FNAM
A Blood-Stained Note,血迹斑斑的字条,BOOK.FNAM
A Breton Skull,一个布莱顿人的头骨,ACTI.FNAM
A Carved Ebony Dart,一枚雕纹黑檀镖,WEAP.FNAM
"A Dance in Fire, Chapter 1","《火中舞·卷一》","BOOK.FNAM"
"A Dance in Fire, Chapter 2","《火中舞·卷二》","BOOK.FNAM"
"A Dance in Fire, Chapter 3","《火中舞·卷三》","BOOK.FNAM"
"A Dance in Fire, Chapter 4","《火中舞·卷四》","BOOK.FNAM"
"A Dance in Fire, Chapter 5","《火中舞·卷五》","BOOK.FNAM"
"A Dance in Fire, Chapter 6","《火中舞·卷六》","BOOK.FNAM"
"A Dance in Fire, Chapter 7","《火中舞·卷七》","BOOK.FNAM"
A Dark Brotherhood Contract,黑暗兄弟会契约,BOOK.FNAM
A dying man's last words,死者的遗言,BOOK.FNAM
A Fair Warning,一份公正的警告,BOOK.FNAM
A Game at Dinner,《晚餐中的游戏》,BOOK.FNAM
A Glowing Key,一把发光的钥匙,MISC.FNAM
A hastily scrawled note,一张字迹潦草的纸条,BOOK.FNAM
A Hypothetical Treachery,《莫须有的背叛》,BOOK.FNAM
A Leaflet,一张传单,BOOK.FNAM
A Less Rude Song,《一首“不那么俗”的歌》,BOOK.FNAM
A Mystical Gate,神秘的大门,DOOR.FNAM
A nobleman,一个贵族,CONT.FNAM
A nobleman's chest,一个贵族的箱子,CONT.FNAM
A Rusty Dagger,一把锈迹斑斑的匕首,WEAP.FNAM
A scrawled note,一张字迹潦草的纸条,BOOK.FNAM
A scroll written in blood,用血写成的卷轴,BOOK.FNAM
A Short History of Morrowind,《晨风简史》,BOOK.FNAM
A Simple Key,一把简易的钥匙,MISC.FNAM
A Small Key,一把小钥匙,MISC.FNAM
A worn and weathered note,破损风化的笔记,BOOK.FNAM
A Worn Cavern Door,损坏的山洞门,DOOR.FNAM
A worn key,一把磨损的钥匙,MISC.FNAM
Aad,如,艾诺菲语。
Aba,禁忌,亚历德语。
Aba-Darre,阿巴-达瑞,亚历德语，意为“禁忌-怜悯”，位于冷港，可能与阿巴加拉斯有关。
Aba-Loria,阿巴-洛里亚,亚历德语，意为“禁忌-黑暗”，是阿巴伽拉斯的墓地，目前位于冷港。
Ababael,阿巴贝尔,CEL|NPC_.FNAM
Ababael Timsar-Dadisun,阿巴贝尔·蒂姆萨-达迪森,NPC_.FNAM
Ababael Timsar-Dadisun's Yurt,阿巴贝尔·蒂姆萨-达迪森的帐篷,CEL
Abaelun Mine,阿伯伦矿场,CEL
Abaesen-Pulu Egg Mine,阿贝森-普鲁卵矿场,CEL
Abagaia,无畏,亚历德语、丹莫语。-voy为“不要畏惧”，-nye为“我不畏惧”。
Abagandra,阿巴甘德拉,亚历德语，意为“禁忌赠礼”，即无光残迹，被污染的拉坦亚。
Abagarlas,阿巴加拉斯,亚历德语，意为“禁忌洞穴”，位于鲁玛瑞湖岸边，帝都东北。
Abah's Landing,阿巴之先登,以落锤勇士拉·阿巴命名，他是最先登上这片土地的人。
Abalkala,阿巴拉卡拉,NPC_.FNAM
Abamath,阿巴玛斯,亚历德语，意为“禁忌之家”，位于玛拉巴尔·托，建立在一个古兽人定居点上。
Abanabi,阿巴纳比,CEL
Abandoned Mine,被抛弃的矿场,
Abandoned Mine Caverns,被抛弃的矿场-洞穴,
Abandoned Mine Shaft,废弃的矿井,CEL
Abandoned Shipwreck,废弃沉船,CEL
Abanji,阿班吉,NPC_.FNAM
Abasel,阿巴塞尔,亚历德语，意为“禁殿”。
Abassel,阿巴瑟,CEL|NPC_.FNAM
Abassel Asserbassalit,阿巴瑟·阿瑟巴利特,NPC_.FNAM
Abassel's Yurt,阿巴瑟的帐篷,CEL
Abavarlor,阿巴瓦洛尔,亚历德语，意为“禁忌标志”。
Abbard the Wild,狂野者阿巴德,NPC_.FNAM
ABCs for Barbarians,《野蛮人入门之ABC》,BOOK.FNAM
Abebaal Egg Mine,阿贝巴尔卵矿场,CEL
Abebaal Slave Key,阿贝巴尔奴隶钥匙,MISC.FNAM
Abecean Sea,阿碧希安海,落锤与黄金海岸西部的海域。
Abecee,阿碧希,地名，位于落锤。
Abelle,阿贝尔,NPC_.FNAM
Abelle Chriditte,阿贝尔·克里迪特,NPC_.FNAM
Abelmawia,阿贝尔马维亚,NPC_.FNAM
Abelmawia Hut,阿贝尔马维亚小屋,CEL
Abernanit,阿伯纳尼特,CEL
Abibaal,阿比巴尔,NPC_.FNAM
Abibaal Assillariran,阿比巴尔·阿西拉里兰,NPC_.FNAM
Abilities,智|能力,GMST.STRV|SPEL.FNAM
Abinabi,阿比纳比,CEL
Abishpulu,阿比什普鲁,NPC_.FNAM
Abishpulu Shand,阿比什普鲁·尚德,NPC_.FNAM
Abitius,阿比提乌斯,NPC_.FNAM
Absorb,吸收,GMST.STRV
Absorb Agility,敏捷吸收,SPEL.FNAM
Absorb Agility [Ranged],敏捷吸收 [远程],SPEL.FNAM
Absorb Attribute,属性吸收,GMST.STRV
Absorb Endurance,耐力吸收,SPEL.FNAM
Absorb Endurance [Ranged],耐力吸收 [远程],SPEL.FNAM
Absorb Fatigue,体力吸收,GMST.STRV|SPEL.FNAM
Absorb Fatigue [Ranged],体力吸收 [远程],SPEL.FNAM
Absorb Health,生命吸收,GMST.STRV|SPEL.FNAM
Absorb Health [Ranged],生命吸收 [远程],SPEL.FNAM
Absorb Intelligence,智力吸收,SPEL.FNAM
Absorb Intelligence [Ranged],智力吸收 [远程],SPEL.FNAM
Absorb Luck,幸运吸收,SPEL.FNAM
Absorb Luck [Ranged],幸运吸收 [远程],SPEL.FNAM
Absorb Magicka,魔力吸收,GMST.STRV
Absorb Personality,魅力吸收,SPEL.FNAM
Absorb Personality [Ranged],魅力吸收 [远程],SPEL.FNAM
Absorb Skill,技能吸收,GMST.STRV
Absorb Speed,速度吸收,SPEL.FNAM
Absorb Speed [Ranged],速度吸收 [远程],SPEL.FNAM
Absorb Spell Points,魔力吸收,SPEL.FNAM
Absorb Spell Points [Ranged],魔力吸收 [远程],SPEL.FNAM
Absorb Strength,力量吸收,SPEL.FNAM
Absorb Strength [Ranged],力量吸收 [远程],SPEL.FNAM
Absorb Willpower,意志吸收,SPEL.FNAM
Absorb Willpower [Ranged],意志吸收 [远程],SPEL.FNAM
Abyssal Cephaliarch,深渊祭主,*详见Hermaeus Mora词条。
Accept this Class,接受这个职业,GMST.STRV
Achel,阿切尔,NPC_.FNAM
Acicius,阿西基乌斯,NPC_.FNAM
Acilius,阿西留斯,NPC_.FNAM
Acolyte,祢宜,FACT.RNAM
Acques,阿克,NPC_.FNAM
Acrobat,杂技师,CLAS.FNAM|GMST.STRV
Acrobatics,杂技,GMST.STRV
Activate,交互,GMST.STRV
Ada,阿达,奥德莫语。1.神|2.精魂
Ada'Soom Dir-Kamal,阿达'苏姆·迪尔-卡玛尔,
Ada-Mantia,阿达-曼提亚,*详见Adamantine Tower词条。
Adabal-a,阿达巴尔-阿,亚历德语，意为“神石-我”。莫里豪斯著有标题为The Adabal-a的自传。
Adairan,阿代兰,NPC_.FNAM
Adairan Lalansour,阿代兰·拉兰苏尔,NPC_.FNAM
Adaishah,阿达莎,NPC_.FNAM
Adaishah Ahanidiran,阿达莎·阿尼迪兰,NPC_.FNAM
Adamantine Tower,精金塔,位于高岩的时间之塔，又名迪仁尼塔。
Adamantium,精金,
Adamantium Boots,精金靴子,ARMO.FNAM
Adamantium Claymore,精金大剑,WEAP.FNAM
Adamantium Cuirass,精金胸甲,ARMO.FNAM
Adamantium Greaves,精金胫甲,ARMO.FNAM
Adamantium Helm,精金头盔,ARMO.FNAM
Adamantium Jinkblade of Wounds,精金伤痛闪刃,WEAP.FNAM
Adamantium Left Bracer,精金左护腕,ARMO.FNAM
Adamantium Left Pauldron,精金左肩甲,ARMO.FNAM
Adamantium Mace,精金钉锤,WEAP.FNAM
Adamantium Ore,精金矿,INGR.FNAM
Adamantium Right Bracer,精金右护腕,ARMO.FNAM
Adamantium Right Pauldron,精金右肩甲,ARMO.FNAM
Adamantium Shortsword,精金短剑,WEAP.FNAM
Adamantium Spear,精金长枪,WEAP.FNAM
Adanja,阿达尼娅,CEL|NPC_.FNAM
Adanja's House,阿达尼娅的房子,CEL
Adanumuran,阿达努穆兰,CEL
Adas,阿达斯,NPC_.FNAM
Adaves,阿达夫斯,NPC_.FNAM
Adaves Therayn,阿达夫斯·泰瑞恩,NPC_.FNAM
Addadshashanammu,阿达达莎莎纳姆,CEL
Addamasartus,阿达马萨图斯,CEL
Addamasartus Slave Key,阿达马萨图斯奴隶钥匙,MISC.FNAM
Addammus,阿达姆斯,CEL|NPC_.FNAM
Addammus's Yurt,阿达姆斯的帐篷,CEL
Addarari,阿达拉里,NPC_.FNAM
Addaribantes,阿达里班特斯,NPC_.FNAM
Addarnat,阿达尔纳特,NPC_.FNAM
Addarnat Assardidairan,阿达尔纳特·阿萨迪代兰,NPC_.FNAM
Addhiranirr,阿迪拉尼尔,NPC_.FNAM
Adding,艾丁,NPC_.FNAM
Addinibi,阿迪尼比,NPC_.FNAM
Addunipu,阿杜尼普,NPC_.FNAM
Addut-Lamanu,阿杜特-拉马努,CEL|NPC_.FNAM
Addut-Lamanu's Yurt,阿杜特-拉马努的帐篷,CEL
Adept,宫司,FACT.RNAM
Adharanji,阿德兰吉,NPC_.FNAM
Adibael,阿迪巴尔,CEL|NPC_.FNAM
Adibael Hainnabibi,阿迪巴尔·海纳比比,NPC_.FNAM
Adibael's Yurt,阿迪巴尔的帐篷,CEL
Adidshina,阿迪希纳,NPC_.FNAM
Adil,阿迪尔,NPC_.FNAM
Adil Norvayn,阿迪尔·诺维恩,NPC_.FNAM
Aditte,阿迪特,NPC_.FNAM
Aditte Oges,阿迪特·奥吉斯,NPC_.FNAM
Adma,听,亚历德语，加-ia为被动式。
Admantium Axe,精金战斧,WEAP.FNAM
Admiral,阿德迈拉,NPC_.FNAM
Admiral Rolston,阿德迈拉·罗尔斯顿,NPC_.FNAM
Admire,赞美,GMST.STRV
Admire Fail,赞美失败,GMST.STRV
Admire Success,赞美成功,GMST.STRV
Adon,勋爵,亚历德语。
Adondasi,阿东达斯,NPC_.FNAM
Adondasi Sadalvel,阿东达斯·萨达维,NPC_.FNAM
Adosi,阿多思,NPC_.FNAM
Adosi Darano,阿多思·达然诺,NPC_.FNAM
Adram,阿德拉姆,NPC_.FNAM
Adrard,阿德拉德,NPC_.FNAM
Adraria,阿德拉里娅,NPC_.FNAM
Adraria Vandacia,阿德拉里娅·范达西亚,NPC_.FNAM
Adren,阿德伦,NPC_.FNAM
Adrenaline Rush,肾上腺素激增,SPEL.FNAM
Adrognese,阿多罗格尼斯,NPC_.FNAM
Adrusu,阿德鲁苏,NPC_.FNAM
Adrusu Rothrano,阿德鲁苏·罗特兰诺,NPC_.FNAM
Adryn,阿德林,NPC_.FNAM
Adur-Dan,阿杜尔-丹,NPC_.FNAM
Adus,阿杜斯,NPC_.FNAM
Adusamsi,阿杜萨姆西,CLOT.FNAM|NPC_.FNAM
Adusamsi Assurnarairan,阿杜萨姆西·阿苏纳莱兰,NPC_.FNAM
